date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:50:56	86816/86816	---M--	200	added ('OK')	application/font-woff	etag:%228fd4efd4383eea397977410c7d14c7fd5c118fb4%22	https://use.typekit.net/af/56b0cd/00000000000000007735957d/30/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n3&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/56b0cd/00000000000000007735957d/30/d0ac7	(from https://use.typekit.net/njp4uhl.css)
23:50:56	139888/139888	---M-Z	200	added ('OK')	font/opentype	etag:W/%228fd4efd4383eea397977410c7d14c7fd5c118fb4%22	https://use.typekit.net/af/56b0cd/00000000000000007735957d/30/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n3&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/56b0cd/00000000000000007735957d/30/a0ac7	(from https://use.typekit.net/njp4uhl.css)
23:50:57	86040/86040	---M--	200	added ('OK')	application/font-woff2	etag:%229fee2b6dac5baa07bf9ad5cf829b0a8c64a865ab%22	https://use.typekit.net/af/fcae55/000000000000000077359580/30/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i3&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/fcae55/000000000000000077359580/30/l00c0	(from https://use.typekit.net/njp4uhl.css)
23:50:57	92356/92356	---M--	200	added ('OK')	application/font-woff	etag:%229fee2b6dac5baa07bf9ad5cf829b0a8c64a865ab%22	https://use.typekit.net/af/fcae55/000000000000000077359580/30/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i3&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/fcae55/000000000000000077359580/30/d00c0	(from https://use.typekit.net/njp4uhl.css)
23:50:57	145356/145356	---M-Z	200	added ('OK')	font/opentype	etag:W/%229fee2b6dac5baa07bf9ad5cf829b0a8c64a865ab%22	https://use.typekit.net/af/fcae55/000000000000000077359580/30/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i3&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/fcae55/000000000000000077359580/30/a00c0	(from https://use.typekit.net/njp4uhl.css)
23:50:58	79268/79268	---M--	200	added ('OK')	application/font-woff2	etag:%22d5b95d54872c75e72ae3bce6f1a034361800fab5%22	https://use.typekit.net/af/0758f3/000000000000000077359583/30/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n5&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/0758f3/000000000000000077359583/30/la2f9	(from https://use.typekit.net/njp4uhl.css)
23:50:58	84728/84728	---M--	200	added ('OK')	application/font-woff	etag:%22d5b95d54872c75e72ae3bce6f1a034361800fab5%22	https://use.typekit.net/af/0758f3/000000000000000077359583/30/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n5&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/0758f3/000000000000000077359583/30/da2f9	(from https://use.typekit.net/njp4uhl.css)
23:50:58	136172/136172	---M-Z	200	added ('OK')	font/opentype	etag:W/%22d5b95d54872c75e72ae3bce6f1a034361800fab5%22	https://use.typekit.net/af/0758f3/000000000000000077359583/30/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n5&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/0758f3/000000000000000077359583/30/aa2f9	(from https://use.typekit.net/njp4uhl.css)
23:50:58	83396/83396	---M--	200	added ('OK')	application/font-woff2	etag:%224bc5d9182a604f28ecb66c2cfb3dc42804a14b6f%22	https://use.typekit.net/af/69ecb3/000000000000000077359585/30/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i5&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/69ecb3/000000000000000077359585/30/l0dca	(from https://use.typekit.net/njp4uhl.css)
23:50:58	88788/88788	---M--	200	added ('OK')	application/font-woff	etag:%224bc5d9182a604f28ecb66c2cfb3dc42804a14b6f%22	https://use.typekit.net/af/69ecb3/000000000000000077359585/30/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i5&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/69ecb3/000000000000000077359585/30/d0dca	(from https://use.typekit.net/njp4uhl.css)
23:50:59	140428/140428	---M-Z	200	added ('OK')	font/opentype	etag:W/%224bc5d9182a604f28ecb66c2cfb3dc42804a14b6f%22	https://use.typekit.net/af/69ecb3/000000000000000077359585/30/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i5&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/69ecb3/000000000000000077359585/30/a0dca	(from https://use.typekit.net/njp4uhl.css)
23:50:59	106364/106364	---M--	200	added ('OK')	application/font-woff2	etag:%222bb4bdaa96b48472e6a3a4c76fd4712fdffbcda2%22	https://use.typekit.net/af/73cd70/000000000000000077359d40/30/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n4&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/73cd70/000000000000000077359d40/30/l64f0	(from https://use.typekit.net/njp4uhl.css)
23:50:59	158140/158140	---M--	200	added ('OK')	application/font-woff	etag:%222bb4bdaa96b48472e6a3a4c76fd4712fdffbcda2%22	https://use.typekit.net/af/73cd70/000000000000000077359d40/30/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n4&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/73cd70/000000000000000077359d40/30/d64f0	(from https://use.typekit.net/njp4uhl.css)
23:51:00	314308/314308	---M-Z	200	added ('OK')	font/opentype	etag:W/%222bb4bdaa96b48472e6a3a4c76fd4712fdffbcda2%22	https://use.typekit.net/af/73cd70/000000000000000077359d40/30/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=n4&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/73cd70/000000000000000077359d40/30/a64f0	(from https://use.typekit.net/njp4uhl.css)
23:51:00	100576/100576	---M--	200	added ('OK')	application/font-woff2	etag:%2215f08a8d0b5e9f8981ca2adc656e69608cd5710c%22	https://use.typekit.net/af/e61d82/0000000000000000000124fe/27/l?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i4&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/e61d82/0000000000000000000124fe/27/l34b8	(from https://use.typekit.net/njp4uhl.css)
23:51:00	121740/121740	---M--	200	added ('OK')	application/font-woff	etag:%2215f08a8d0b5e9f8981ca2adc656e69608cd5710c%22	https://use.typekit.net/af/e61d82/0000000000000000000124fe/27/d?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i4&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/e61d82/0000000000000000000124fe/27/d34b8	(from https://use.typekit.net/njp4uhl.css)
23:51:00	227072/227072	---M-Z	200	added ('OK')	font/opentype	etag:W/%2215f08a8d0b5e9f8981ca2adc656e69608cd5710c%22	https://use.typekit.net/af/e61d82/0000000000000000000124fe/27/a?primer=f592e0a4b9356877842506ce344308576437e4f677d7c9b78ca2162e6cad991a&fvd=i4&v=3	C:/Mes%20Sites%20Web/Mon%20Site/use.typekit.net/af/e61d82/0000000000000000000124fe/27/a34b8	(from https://use.typekit.net/njp4uhl.css)
